name,summary,age,animal,family,weight,iq
Wendy,Big scary cat,16.8,Superhero,Malfoys,62.46,25.2
Wendy,Big scary cat,44.8,Superhero,Malfoys,115.76,29.3
Fred,Big scary cat,5.8,Tiger,Malfoys,178.86,169.8
Fred,Big scary cat,33.8,Tiger,Malfoys,69.38,26.1
Wilbur,Big scary cat,70.8,Superhero,Malfoys,52.79,34.7
Wilbur,Big scary cat,22.8,Superhero,Malfoys,89.52,80.9
Archibold,Big scary cat,59.8,Tiger,Malfoys,65.38,199.4
Wendy,Big scary cat,20.8,Superhero,Malfoys,118.83,41
Archibold,Big scary cat,83.8,Tiger,Malfoys,45.2,90.3
Archibold,Big scary cat,11.8,Tiger,Malfoys,136.37,117.1
Wendy,Big scary cat,44.8,Superhero,Malfoys,8.09,120.8
Wendy,Big scary cat,48.8,Superhero,Malfoys,14.18,188.1
Fred,Big scary cat,9.8,Tiger,Malfoys,11.58,125.5
Wendy,Big scary cat,72.8,Superhero,Malfoys,24.73,112.7
Fred,Big scary cat,33.8,Tiger,Malfoys,82.26,32.3
Fred,Big scary cat,37.8,Tiger,Malfoys,173.4,80.8
Wilbur,Big scary cat,70.8,Superhero,Malfoys,164.55,196.3
Fred,Big scary cat,61.8,Tiger,Malfoys,184.96,119.3
Wilbur,Big scary cat,98.8,Superhero,Malfoys,148.36,108.9
Wilbur,Big scary cat,22.8,Superhero,Malfoys,67.43,35.8
Wilbur,Big scary cat,26.8,Superhero,Malfoys,29.16,104.5
Archibold,Big scary cat,59.8,Tiger,Malfoys,8.77,173.7
Archibold,Big scary cat,87.8,Tiger,Malfoys,73.05,4.3
Archibold,Big scary cat,11.8,Tiger,Malfoys,19.01,177.3
Wendy,Big scary cat,48.8,Superhero,Malfoys,82.85,9.4
Wendy,Big scary cat,76.8,Superhero,Malfoys,37.05,96.2
Fred,Big scary cat,37.8,Tiger,Malfoys,13.69,96.5
Fred,Big scary cat,65.8,Tiger,Malfoys,117.48,136.3
Wilbur,Big scary cat,26.8,Superhero,Malfoys,11.02,11.2
Fred,Big scary cat,93.8,Tiger,Malfoys,15.56,92.8
Wilbur,Big scary cat,54.8,Superhero,Malfoys,164.52,48.4
Archibold,Big scary cat,15.8,Tiger,Malfoys,53.15,94.6
Wilbur,Big scary cat,82.8,Superhero,Malfoys,61.95,119.1
Archibold,Big scary cat,43.8,Tiger,Malfoys,120.94,96.4
Fred,Big scary cat,41.8,Tiger,Malfoys,67.74,155.9
Wendy,Big scary cat,80.8,Superhero,Malfoys,180.19,120.4
Wendy,Big scary cat,4.8,Superhero,Malfoys,187.58,74.7
Wilbur,Big scary cat,78.8,Superhero,Malfoys,142.09,119.6
Wilbur,Big scary cat,2.8,Superhero,Malfoys,23.47,5.3
Archibold,Big scary cat,71.8,Tiger,Malfoys,182.42,33
Archibold,Big scary cat,39.8,Tiger,Malfoys,180.08,151.1
Wendy,Big scary cat,32.8,Superhero,Malfoys,11.24,136.3
Fred,Big scary cat,69.8,Tiger,Malfoys,155.01,75.6
Archibold,Big scary cat,67.8,Tiger,Malfoys,112.73,1.7
Wilbur,Big scary cat,30.8,Superhero,Malfoys,172.19,66.3
Wendy,Big scary cat,28.8,Superhero,Malfoys,59.24,119.1
Fred,Big scary cat,97.8,Tiger,Malfoys,151.5,52.8
Fred,Big scary cat,21.8,Tiger,Malfoys,41.18,13.8
Archibold,Big scary cat,95.8,Tiger,Malfoys,10.8,38.6
Wilbur,Big scary cat,58.8,Superhero,Malfoys,122.45,139.9
Wendy,Big scary cat,56.8,Superhero,Malfoys,63.54,14.7
Archibold,Big scary cat,19.8,Tiger,Malfoys,42.33,70.8
Fred,Big scary cat,17.8,Tiger,Malfoys,89.79,27.2
Wendy,Big scary cat,84.8,Superhero,Malfoys,101.09,97.2
Fred,Big scary cat,45.8,Tiger,Malfoys,173.29,83.1
Wilbur,Big scary cat,6.8,Superhero,Malfoys,195.27,13
Fred,Big scary cat,73.8,Tiger,Malfoys,167.38,46.4
Wilbur,Big scary cat,34.8,Superhero,Malfoys,198.61,23.7
Wilbur,Big scary cat,62.8,Superhero,Malfoys,189.88,181.2
Archibold,Big scary cat,99.8,Tiger,Malfoys,66.82,91.3
Archibold,Big scary cat,23.8,Tiger,Malfoys,149.74,173.4
Wendy,Big scary cat,60.8,Superhero,Malfoys,193.94,127.7
Archibold,Big scary cat,51.8,Tiger,Malfoys,162.91,147.8
Wendy,Big scary cat,88.8,Superhero,Malfoys,19.77,10.3
Wendy,Big scary cat,12.8,Superhero,Malfoys,13.61,199.5
Fred,Big scary cat,49.8,Tiger,Malfoys,93.82,85.4
Wilbur,Big scary cat,10.8,Superhero,Malfoys,43.24,78
Fred,Big scary cat,77.8,Tiger,Malfoys,156.23,38.3
Fred,Big scary cat,1.8,Tiger,Malfoys,4.51,150.2
Wilbur,Big scary cat,38.8,Superhero,Malfoys,191.94,105.3
Wendy,Big scary cat,36.8,Superhero,Malfoys,91.65,122.3
Wilbur,Big scary cat,66.8,Superhero,Malfoys,179.55,10.6
Archibold,Big scary cat,27.8,Tiger,Malfoys,180.9,137.5
Fred,Big scary cat,25.8,Tiger,Malfoys,175.59,43.5
Wilbur,Big scary cat,94.8,Superhero,Malfoys,27.75,71.8
Archibold,Big scary cat,55.8,Tiger,Malfoys,42.87,113.1
Wendy,Big scary cat,16.8,Superhero,Malfoys,65.68,187.2
Wilbur,Big scary cat,14.8,Superhero,Malfoys,46.15,77.1
Archibold,Big scary cat,3.8,Tiger,Malfoys,154.67,10.7
Wendy,Big scary cat,40.8,Superhero,Malfoys,51.05,113.6
Fred,Big scary cat,29.8,Tiger,Malfoys,187.07,147.3
Wilbur,Big scary cat,18.8,Superhero,Malfoys,159.68,31.1
Archibold,Big scary cat,7.8,Tiger,Malfoys,36.94,143.3
Archibold,Big scary cat,31.8,Tiger,Malfoys,17.37,3.5
Wendy,Big scary cat,68.8,Superhero,Malfoys,63.45,116.4
Fred,Big scary cat,29.8,Tiger,Malfoys,41.85,8.5
Wendy,Big scary cat,96.8,Superhero,Malfoys,97.32,157.1
Fred,Big scary cat,57.8,Tiger,Malfoys,31.4,170.2
Wilbur,Big scary cat,18.8,Superhero,Malfoys,9.59,89
Fred,Big scary cat,85.8,Tiger,Malfoys,83.88,122.1
Wilbur,Big scary cat,46.8,Superhero,Malfoys,125.97,100.6
Archibold,Big scary cat,7.8,Tiger,Malfoys,125.56,12.6
Wilbur,Big scary cat,74.8,Superhero,Malfoys,168.25,105.1
Archibold,Big scary cat,35.8,Tiger,Malfoys,112.42,145.5
Archibold,Big scary cat,63.8,Tiger,Malfoys,154.12,156.3
Wendy,Big scary cat,100.8,Superhero,Malfoys,93.58,32.3
Wendy,Big scary cat,24.8,Superhero,Malfoys,195.63,175.9
Archibold,Big scary cat,91.8,Tiger,Malfoys,178.49,162.3
Wendy,Big scary cat,52.8,Superhero,Malfoys,65.36,200.3
Fred,Big scary cat,89.8,Tiger,Malfoys,100.56,140.9
Fred,Big scary cat,13.8,Tiger,Malfoys,45.23,126
Wilbur,Big scary cat,50.8,Superhero,Malfoys,158.94,41.9
Fred,Big scary cat,41.8,Tiger,Malfoys,30.02,99.4
Wilbur,Big scary cat,78.8,Superhero,Malfoys,151.69,76.9
Wilbur,Big scary cat,2.8,Superhero,Malfoys,101.86,157.9
Archibold,Big scary cat,39.8,Tiger,Malfoys,5.86,154.1
Archibold,Big scary cat,67.8,Tiger,Malfoys,135.98,165.4
Fred,Big scary cat,65.8,Tiger,Malfoys,101.06,66.2
Wendy,Big scary cat,28.8,Superhero,Malfoys,88.62,127.7
Wilbur,Big scary cat,26.8,Superhero,Malfoys,162.92,47.5
Archibold,Big scary cat,95.8,Tiger,Malfoys,73.9,126.9
Fred,Big scary cat,93.8,Tiger,Malfoys,45.78,155.4
Wendy,Big scary cat,56.8,Superhero,Malfoys,30.9,96.3
Wilbur,Big scary cat,54.8,Superhero,Malfoys,57.4,183.5
Fred,Big scary cat,17.8,Tiger,Malfoys,153.51,158
Archibold,Big scary cat,15.8,Tiger,Malfoys,154.6,166.9
Wendy,Big scary cat,84.8,Superhero,Malfoys,196.29,73.8
Wilbur,Big scary cat,82.8,Superhero,Malfoys,101.27,49.6
Fred,Big scary cat,45.8,Tiger,Malfoys,53.9,19.4
Archibold,Big scary cat,43.8,Tiger,Malfoys,180.98,140.5
Wilbur,Big scary cat,6.8,Superhero,Malfoys,182.78,14.4
Wendy,Big scary cat,80.8,Superhero,Malfoys,119,199.6
Wendy,Big scary cat,4.8,Superhero,Malfoys,177.55,64.1
Archibold,Big scary cat,71.8,Tiger,Malfoys,110.25,163.6
Wendy,Big scary cat,32.8,Superhero,Malfoys,38.24,50.4
Fred,Big scary cat,69.8,Tiger,Malfoys,32.52,170.4
Wilbur,Big scary cat,30.8,Superhero,Malfoys,16.31,4.5
Fred,Big scary cat,97.8,Tiger,Malfoys,113.88,20.1
Fred,Big scary cat,21.8,Tiger,Malfoys,108.8,123.3
Wilbur,Big scary cat,58.8,Superhero,Malfoys,41.18,172.2
Archibold,Big scary cat,19.8,Tiger,Malfoys,35.3,170.9
Wilbur,Big scary cat,86.8,Superhero,Malfoys,137.24,89.3
Archibold,Big scary cat,47.8,Tiger,Malfoys,98.53,58
Wendy,Big scary cat,8.8,Superhero,Malfoys,76.93,85.3
Archibold,Big scary cat,75.8,Tiger,Malfoys,128.57,85.9
Wendy,Big scary cat,36.8,Superhero,Malfoys,14.33,169.3
Wendy,Big scary cat,64.8,Superhero,Malfoys,70.78,42.8
Fred,Big scary cat,25.8,Tiger,Malfoys,115.57,1.6
Wendy,Big scary cat,92.8,Superhero,Malfoys,45.36,58
Fred,Big scary cat,53.8,Tiger,Malfoys,192.27,99
